d,st,et,p,sp,dp,ct,fp
0,1257265115031232,1340886,19,58771,25,abortive,"0:74:2:1:3518944359:0,574:74:18:0:1025065744:3518944360,784:66:16:1:3518944360:1025065745,1006762:278:24:0:1025065745:3518944360,1006950:66:16:1:3518944360:1025065957,1006955:81:24:1:3518944360:1025065957,1007209:66:16:0:1025065957:3518944375,1007267:157:24:0:1025065957:3518944375,1007440:95:24:1:3518944375:1025066048,1008743:108:24:0:1025066048:3518944404,1008923:97:24:1:3518944404:1025066090,1012433:114:24:0:1025066090:3518944435,1012657:71:24:1:3518944435:1025066138,1013153:116:24:0:1025066138:3518944440,1013386:92:24:1:3518944440:1025066188,1013397:139:25:1:3518944466:1025066188,1013895:66:16:0:1025066188:3518944540,1340730:122:24:0:1025066188:3518944540,1340886:60:4:1:3518944540:0"
1,1257265115034298,193,2,50725,113,rst_during_handshake,"0:74:2:1:1020992907:0,193:60:20:0:0:1020992908"
0,1257265120379407,1083735,19,33582,25,abortive,"0:74:2:1:3597234371:0,255:74:18:0:1119837582:3597234372,403:66:16:1:3597234372:1119837583,1018849:278:24:0:1119837583:3597234372,1019039:66:16:1:3597234372:1119837795,1019044:81:24:1:3597234372:1119837795,1019294:66:16:0:1119837795:3597234387,1019384:157:24:0:1119837795:3597234387,1019559:95:24:1:3597234387:1119837886,1020897:108:24:0:1119837886:3597234416,1021085:95:24:1:3597234416:1119837928,1024500:112:24:0:1119837928:3597234445,1024646:71:24:1:3597234445:1119837974,1024947:116:24:0:1119837974:3597234450,1025127:90:24:1:3597234450:1119838024,1025136:139:25:1:3597234474:1119838024,1025425:66:16:0:1119838024:3597234548,1083587:122:24:0:1119838024:3597234548,1083735:60:4:1:3597234548:0"
1,1257265120382125,148,2,49963,113,rst_during_handshake,"0:74:2:1:1107270385:0,148:60:20:0:0:1107270386"
0,1257265125554400,1019006,19,43993,25,abortive,"0:74:2:1:3674521003:0,336:74:18:0:1200150987:3674521004,508:66:16:1:3674521004:1200150988,1000396:278:24:0:1200150988:3674521004,1000622:66:16:1:3674521004:1200151200,1000628:81:24:1:3674521004:1200151200,1000885:66:16:0:1200151200:3674521019,1000946:157:24:0:1200151200:3674521019,1001123:95:24:1:3674521019:1200151291,1002545:108:24:0:1200151291:3674521048,1002725:96:24:1:3674521048:1200151333,1006184:113:24:0:1200151333:3674521078,1006356:71:24:1:3674521078:1200151380,1006685:116:24:0:1200151380:3674521083,1006877:91:24:1:3674521083:1200151430,1006884:139:25:1:3674521108:1200151430,1007163:66:16:0:1200151430:3674521182,1018860:122:24:0:1200151430:3674521182,1019006:60:4:1:3674521182:0"
1,1257265125556907,148,2,35945,113,rst_during_handshake,"0:74:2:1:1192231769:0,148:60:20:0:0:1192231770"
0,1257265126572331,1040838,19,60349,25,abortive,"0:74:2:1:3685341744:0,248:74:18:0:1200963409:3685341745,396:66:16:1:3685341745:1200963410,1014495:278:24:0:1200963410:3685341745,1014725:66:16:1:3685341745:1200963622,1014730:81:24:1:3685341745:1200963622,1014983:66:16:0:1200963622:3685341760,1015038:157:24:0:1200963622:3685341760,1015213:95:24:1:3685341760:1200963713,1016544:108:24:0:1200963713:3685341789,1016717:96:24:1:3685341789:1200963755,1019989:113:24:0:1200963755:3685341819,1020157:71:24:1:3685341819:1200963802,1020478:116:24:0:1200963802:3685341824,1020671:91:24:1:3685341824:1200963852,1020679:139:25:1:3685341849:1200963852,1020943:66:16:0:1200963852:3685341923,1040670:122:24:0:1200963852:3685341923,1040838:60:4:1:3685341923:0"
1,1257265126574850,150,2,43720,113,rst_during_handshake,"0:74:2:1:1208759007:0,150:60:20:0:0:1208759008"
0,1257265131714750,1045745,19,60138,25,abortive,"0:74:2:1:3767340539:0,249:74:18:0:1287977392:3767340540,411:66:16:1:3767340540:1287977393,1002808:278:24:0:1287977393:3767340540,1002995:66:16:1:3767340540:1287977605,1003002:81:24:1:3767340540:1287977605,1003258:66:16:0:1287977605:3767340555,1003341:157:24:0:1287977605:3767340555,1003518:95:24:1:3767340555:1287977696,1004852:108:24:0:1287977696:3767340584,1005029:97:24:1:3767340584:1287977738,1008396:114:24:0:1287977738:3767340615,1008564:71:24:1:3767340615:1287977786,1008842:116:24:0:1287977786:3767340620,1009033:92:24:1:3767340620:1287977836,1009040:139:25:1:3767340646:1287977836,1009307:66:16:0:1287977836:3767340720,1045556:122:24:0:1287977836:3767340720,1045745:60:4:1:3767340720:0"
1,1257265131717322,178,2,43714,113,rst_during_handshake,"0:74:2:1:1291040580:0,178:60:20:0:0:1291040581"
