d,st,et,p,sp,dp,ct,fp
0,1257260061818325,1093305,19,40997,25,abortive,"0:74:2:1:1579530917:0,269:74:18:0:3390824541:1579530918,442:66:16:1:1579530918:3390824542,1033243:287:24:0:3390824542:1579530918,1033734:66:16:0:3390824763:1579530933,1033846:163:24:0:3390824763:1579530933,1035474:108:24:0:3390824860:1579530962,1038245:113:24:0:3390824902:1579530992,1038707:116:24:0:3390824949:1579530997,1039163:66:16:0:3390824999:1579531097,1040463:66:16:1:1579530918:3390824763,1040468:81:24:1:1579530918:3390824763,1041021:95:24:1:1579530933:3390824860,1042684:96:24:1:1579530962:3390824902,1045414:71:24:1:1579530992:3390824949,1045892:91:24:1:1579530997:3390824999,1045899:140:25:1:1579531022:3390824999,1086136:122:24:0:3390824999:1579531097,1093305:60:4:1:1579531097:0"
1,1257260061829969,208,2,60239,113,rst_during_handshake,"0:74:2:1:3396116981:0,208:60:20:0:0:3396116982"
0,1257260062868431,1097843,19,41296,25,abortive,"0:74:18:0:3408272855:1603675077,6661:74:2:1:1603675076:0,7187:66:16:1:1603675077:3408272856,1027562:287:24:0:3408272856:1603675077,1027749:66:16:1:1603675077:3408273077,1027754:81:24:1:1603675077:3408273077,1028003:66:16:0:3408273077:1603675092,1028094:163:24:0:3408273077:1603675092,1028274:95:24:1:1603675092:3408273174,1029668:108:24:0:3408273174:1603675121,1029887:96:24:1:1603675121:3408273216,1032388:113:24:0:3408273216:1603675151,1032561:71:24:1:1603675151:3408273263,1032839:116:24:0:3408273263:1603675156,1033033:91:24:1:1603675156:3408273313,1033040:140:25:1:1603675181:3408273313,1033302:66:16:0:3408273313:1603675256,1097695:122:24:0:3408273313:1603675256,1097843:60:4:1:1603675256:0"
1,1257260062870701,7161,2,43650,113,rst_during_handshake,"0:74:2:1:3410015442:0,7161:60:20:0:0:3410015443"
0,1257260065964786,1029412,19,55473,25,abortive,"0:74:2:1:1650520248:0,888:74:18:0:3448516322:1650520249,1091:66:16:1:1650520249:3448516323,1010696:287:24:0:3448516323:1650520249,1010890:66:16:1:1650520249:3448516544,1010896:81:24:1:1650520249:3448516544,1011150:66:16:0:3448516544:1650520264,1011348:163:24:0:3448516544:1650520264,1011564:95:24:1:1650520264:3448516641,1013130:108:24:0:3448516641:1650520293,1013347:96:24:1:1650520293:3448516683,1015636:113:24:0:3448516683:1650520323,1015807:71:24:1:1650520323:3448516730,1016132:116:24:0:3448516730:1650520328,1016363:91:24:1:1650520328:3448516780,1016369:140:25:1:1650520353:3448516780,1016639:66:16:0:3448516780:1650520428,1029264:122:24:0:3448516780:1650520428,1029412:60:4:1:1650520428:0"
1,1257260065968118,207,2,46406,113,rst_during_handshake,"0:74:2:1:3460655646:0,207:60:20:0:0:3460655647"
0,1257260066991986,1060995,19,53125,25,abortive,"0:74:2:1:1662900136:0,245:74:18:0:3471673682:1662900137,392:66:16:1:1662900137:3471673683,1005412:287:24:0:3471673683:1662900137,1005606:66:16:1:1662900137:3471673904,1005611:81:24:1:1662900137:3471673904,1005863:66:16:0:3471673904:1662900152,1005947:163:24:0:3471673904:1662900152,1006098:95:24:1:1662900152:3471674001,1007513:108:24:0:3471674001:1662900181,1007702:99:24:1:1662900181:3471674043,1018024:116:24:0:3471674043:1662900214,1018198:71:24:1:1662900214:3471674093,1018495:116:24:0:3471674093:1662900219,1018713:94:24:1:1662900219:3471674143,1018719:140:25:1:1662900247:3471674143,1018993:66:16:0:3471674143:1662900322,1060819:122:24:0:3471674143:1662900322,1060995:60:4:1:1662900322:0"
1,1257260066994524,147,2,44308,113,rst_during_handshake,"0:74:2:1:3472173713:0,147:60:20:0:0:3472173714"
0,1257260071133532,1021014,19,48803,25,abortive,"0:74:2:1:1730687097:0,239:74:18:0:3527518863:1730687098,385:66:16:1:1730687098:3527518864,1002198:287:24:0:3527518864:1730687098,1002381:66:16:1:1730687098:3527519085,1002387:81:24:1:1730687098:3527519085,1002649:66:16:0:3527519085:1730687113,1002754:163:24:0:3527519085:1730687113,1002931:95:24:1:1730687113:3527519182,1004489:108:24:0:3527519182:1730687142,1004725:96:24:1:1730687142:3527519224,1007154:113:24:0:3527519224:1730687172,1007326:71:24:1:1730687172:3527519271,1007603:116:24:0:3527519271:1730687177,1007790:91:24:1:1730687177:3527519321,1007796:140:25:1:1730687202:3527519321,1008070:66:16:0:3527519321:1730687277,1020865:122:24:0:3527519321:1730687277,1021014:60:4:1:1730687277:0"
1,1257260071135986,153,2,51586,113,rst_during_handshake,"0:74:2:1:3527816237:0,153:60:20:0:0:3527816238"
0,1257260077493358,1030810,19,46426,25,abortive,"0:74:2:1:1816279099:0,3211:74:18:0:3636299303:1816279100,3398:66:16:1:1816279100:3636299304,1012663:287:24:0:3636299304:1816279100,1012854:66:16:1:1816279100:3636299525,1012860:81:24:1:1816279100:3636299525,1013114:66:16:0:3636299525:1816279115,1013170:163:24:0:3636299525:1816279115,1013346:95:24:1:1816279115:3636299622,1014651:108:24:0:3636299622:1816279144,1014825:96:24:1:1816279144:3636299664,1017265:113:24:0:3636299664:1816279174,1017438:71:24:1:1816279174:3636299711,1017716:116:24:0:3636299711:1816279179,1017907:91:24:1:1816279179:3636299761,1017913:140:25:1:1816279204:3636299761,1018183:66:16:0:3636299761:1816279279,1030665:122:24:0:3636299761:1816279279,1030810:60:4:1:1816279279:0"
1,1257260077498913,203,2,60477,113,rst_during_handshake,"0:74:2:1:3638292133:0,203:60:20:0:0:3638292134"
0,1257260079544440,1089927,19,33115,25,abortive,"0:74:2:1:1857841385:0,241:74:18:0:3659261784:1857841386,388:66:16:1:1857841386:3659261785,1022319:287:24:0:3659261785:1857841386,1022508:66:16:1:1857841386:3659262006,1022514:81:24:1:1857841386:3659262006,1022754:66:16:0:3659262006:1857841401,1022831:163:24:0:3659262006:1857841401,1023011:95:24:1:1857841401:3659262103,1024265:108:24:0:3659262103:1857841430,1024440:96:24:1:1857841430:3659262145,1026671:113:24:0:3659262145:1857841460,1026840:71:24:1:1857841460:3659262192,1027146:116:24:0:3659262192:1857841465,1027327:91:24:1:1857841465:3659262242,1027334:140:25:1:1857841490:3659262242,1027749:66:16:0:3659262242:1857841565,1089778:122:24:0:3659262242:1857841565,1089927:60:4:1:1857841565:0"
1,1257260079546949,163,2,55851,113,rst_during_handshake,"0:74:2:1:3661826544:0,163:60:20:0:0:3661826545"
0,1257260093110208,1025560,19,34191,25,abortive,"0:74:2:1:2076263995:0,240:74:18:0:3881245946:2076263996,384:66:16:1:2076263996:3881245947,1006716:287:24:0:3881245947:2076263996,1006952:66:16:1:2076263996:3881246168,1006957:81:24:1:2076263996:3881246168,1007347:66:16:0:3881246168:2076264011,1007348:163:24:0:3881246168:2076264011,1007570:95:24:1:2076264011:3881246265,1008863:108:24:0:3881246265:2076264040,1009037:95:24:1:2076264040:3881246307,1011253:112:24:0:3881246307:2076264069,1011436:71:24:1:2076264069:3881246353,1011836:116:24:0:3881246353:2076264074,1012044:90:24:1:2076264074:3881246403,1012051:140:25:1:2076264098:3881246403,1012476:66:16:0:3881246403:2076264173,1025383:122:24:0:3881246403:2076264173,1025560:60:4:1:2076264173:0"
1,1257260093112772,189,2,56461,113,rst_during_handshake,"0:74:2:1:3883117198:0,189:60:20:0:0:3883117199"
0,1257260095155651,1019238,19,59064,25,abortive,"0:74:2:1:2092660167:0,239:74:18:0:3903668159:2092660168,384:66:16:1:2092660168:3903668160,1001245:287:24:0:3903668160:2092660168,1001442:66:16:1:2092660168:3903668381,1001447:81:24:1:2092660168:3903668381,1001702:66:16:0:3903668381:2092660183,1001930:163:24:0:3903668381:2092660183,1002150:95:24:1:2092660183:3903668478,1003759:108:24:0:3903668478:2092660212,1003980:101:24:1:2092660212:3903668520,1006416:118:24:0:3903668520:2092660247,1006586:71:24:1:2092660247:3903668572,1006866:116:24:0:3903668572:2092660252,1007057:96:24:1:2092660252:3903668622,1007063:140:25:1:2092660282:3903668622,1007332:66:16:0:3903668622:2092660357,1019099:122:24:0:3903668622:2092660357,1019238:60:4:1:2092660357:0"
1,1257260095158156,151,2,51784,113,rst_during_handshake,"0:74:2:1:3919098982:0,151:60:20:0:0:3919098983"
