d,st,et,p,sp,dp,ct,fp
0,1257264444873238,1123644,19,51659,25,abortive,"0:74:2:1:1599352171:0,266:74:18:0:3413180905:1599352172,417:66:16:1:1599352172:3413180906,1019268:284:24:0:3413180906:1599352172,1019460:66:16:1:1599352172:3413181124,1019465:81:24:1:1599352172:3413181124,1019715:66:16:0:3413181124:1599352187,1019807:161:24:0:3413181124:1599352187,1019987:95:24:1:1599352187:3413181219,1021391:108:24:0:3413181219:1599352216,1021579:94:24:1:1599352216:3413181261,1024844:111:24:0:3413181261:1599352244,1024992:71:24:1:1599352244:3413181306,1029514:116:24:0:3413181306:1599352249,1029699:89:24:1:1599352249:3413181356,1029705:142:25:1:1599352272:3413181356,1029974:66:16:0:3413181356:1599352349,1123492:122:24:0:3413181356:1599352349,1123644:60:4:1:1599352349:0"
1,1257264444875798,149,2,57116,113,rst_during_handshake,"0:74:2:1:3416638604:0,149:60:20:0:0:3416638605"
0,1257264448004873,1105423,19,47730,25,abortive,"0:74:2:1:1638905769:0,542:74:18:0:3466538124:1638905770,726:66:16:1:1638905770:3466538125,1017497:284:24:0:3466538125:1638905770,1017702:66:16:1:1638905770:3466538343,1017707:81:24:1:1638905770:3466538343,1017958:66:16:0:3466538343:1638905785,1018057:161:24:0:3466538343:1638905785,1018245:95:24:1:1638905785:3466538438,1019714:108:24:0:3466538438:1638905814,1019921:99:24:1:1638905814:3466538480,1023329:116:24:0:3466538480:1638905847,1023504:71:24:1:1638905847:3466538530,1023832:116:24:0:3466538530:1638905852,1024022:94:24:1:1638905852:3466538580,1024028:142:25:1:1638905880:3466538580,1024296:66:16:0:3466538580:1638905957,1105278:122:24:0:3466538580:1638905957,1105423:60:4:1:1638905957:0"
1,1257264448007934,212,2,37324,113,rst_during_handshake,"0:74:2:1:3455197138:0,212:60:20:0:0:3455197139"
0,1257264451170241,6224102,19,54215,25,abortive,"0:74:2:1:1688108943:0,316:74:18:0:3499975834:1688108944,499:66:16:1:1688108944:3499975835,1001499:284:24:0:3499975835:1688108944,1001692:66:16:1:1688108944:3499976053,1001698:81:24:1:1688108944:3499976053,1001938:66:16:0:3499976053:1688108959,1002153:161:24:0:3499976053:1688108959,1002354:95:24:1:1688108959:3499976148,1003607:108:24:0:3499976148:1688108988,1003795:98:24:1:1688108988:3499976190,1007288:115:24:0:3499976190:1688109020,1008440:71:24:1:1688109020:3499976239,1008843:116:24:0:3499976239:1688109025,1009222:93:24:1:1688109025:3499976289,1009229:142:25:1:1688109052:3499976289,1009497:66:16:0:3499976289:1688109129,6223930:122:24:0:3499976289:1688109129,6224102:60:4:1:1688109129:0"
1,1257264451172726,147,2,49716,113,rst_during_handshake,"0:74:2:1:3510629314:0,147:60:20:0:0:3510629315"
0,1257264459413319,1117245,19,45843,25,abortive,"0:74:2:1:1828505147:0,258:74:18:0:3628866536:1828505148,404:66:16:1:1828505148:3628866537,1020701:284:24:0:3628866537:1828505148,1020883:66:16:1:1828505148:3628866755,1020888:81:24:1:1828505148:3628866755,1021137:66:16:0:3628866755:1828505163,1021211:161:24:0:3628866755:1828505163,1021385:95:24:1:1828505163:3628866850,1022694:108:24:0:3628866850:1828505192,1022870:96:24:1:1828505192:3628866892,1026401:113:24:0:3628866892:1828505222,1026586:71:24:1:1828505222:3628866939,1026881:116:24:0:3628866939:1828505227,1027053:91:24:1:1828505227:3628866989,1027060:142:25:1:1828505252:3628866989,1027336:66:16:0:3628866989:1828505329,1117055:122:24:0:3628866989:1828505329,1117245:60:4:1:1828505329:0"
1,1257264459415734,159,2,43911,113,rst_during_handshake,"0:74:2:1:3642001630:0,159:60:20:0:0:3642001631"
0,1257264466701778,1135414,19,38928,25,abortive,"0:74:2:1:1929760857:0,282:74:18:0:3753727355:1929760858,469:66:16:1:1929760858:3753727356,1014485:284:24:0:3753727356:1929760858,1014669:66:16:1:1929760858:3753727574,1014674:81:24:1:1929760858:3753727574,1014920:66:16:0:3753727574:1929760873,1014978:161:24:0:3753727574:1929760873,1015154:95:24:1:1929760873:3753727669,1016444:108:24:0:3753727669:1929760902,1016624:99:24:1:1929760902:3753727711,1022127:116:24:0:3753727711:1929760935,1022324:71:24:1:1929760935:3753727761,1022938:116:24:0:3753727761:1929760940,1023179:94:24:1:1929760940:3753727811,1023188:142:25:1:1929760968:3753727811,1023586:66:16:0:3753727811:1929761045,1135266:122:24:0:3753727811:1929761045,1135414:60:4:1:1929761045:0"
1,1257264466704256,147,2,37146,113,rst_during_handshake,"0:74:2:1:3745935408:0,147:60:20:0:0:3745935409"
0,1257264481180387,1139834,19,53068,25,abortive,"0:74:2:1:2160051430:0,242:74:18:0:3970053499:2160051431,389:66:16:1:2160051431:3970053500,1014675:284:24:0:3970053500:2160051431,1014873:66:16:1:2160051431:3970053718,1014879:81:24:1:2160051431:3970053718,1015130:66:16:0:3970053718:2160051446,1015192:161:24:0:3970053718:2160051446,1015385:95:24:1:2160051446:3970053813,1016585:108:24:0:3970053813:2160051475,1016757:96:24:1:2160051475:3970053855,1041822:113:24:0:3970053855:2160051505,1041994:71:24:1:2160051505:3970053902,1042274:116:24:0:3970053902:2160051510,1042467:91:24:1:2160051510:3970053952,1042474:142:25:1:2160051535:3970053952,1042741:66:16:0:3970053952:2160051612,1139688:122:24:0:3970053952:2160051612,1139834:60:4:1:2160051612:0"
1,1257264481182932,147,2,46697,113,rst_during_handshake,"0:74:2:1:3977350618:0,147:60:20:0:0:3977350619"
0,1257264484282182,1036877,19,34846,25,abortive,"0:74:2:1:2206658546:0,242:74:18:0:4021916211:2206658547,390:66:16:1:2206658547:4021916212,1014283:284:24:0:4021916212:2206658547,1014471:66:16:1:2206658547:4021916430,1014476:81:24:1:2206658547:4021916430,1014718:66:16:0:4021916430:2206658562,1014769:161:24:0:4021916430:2206658562,1014944:95:24:1:2206658562:4021916525,1016280:108:24:0:4021916525:2206658591,1016461:97:24:1:2206658591:4021916567,1019739:114:24:0:4021916567:2206658622,1019904:71:24:1:2206658622:4021916615,1020194:116:24:0:4021916615:2206658627,1020385:92:24:1:2206658627:4021916665,1020392:142:25:1:2206658653:4021916665,1020658:66:16:0:4021916665:2206658730,1036728:122:24:0:4021916665:2206658730,1036877:60:4:1:2206658730:0"
1,1257264484284670,149,2,60947,113,rst_during_handshake,"0:74:2:1:4033050665:0,149:60:20:0:0:4033050666"
0,1257264487356751,4428293,19,33922,25,abortive,"0:74:2:1:2263951084:0,266:74:18:0:4071387102:2263951085,451:66:16:1:2263951085:4071387103,1006096:284:24:0:4071387103:2263951085,1006285:66:16:1:2263951085:4071387321,1006290:81:24:1:2263951085:4071387321,1006542:66:16:0:4071387321:2263951100,1006609:161:24:0:4071387321:2263951100,1006789:95:24:1:2263951100:4071387416,1008116:108:24:0:4071387416:2263951129,1008341:97:24:1:2263951129:4071387458,1011929:114:24:0:4071387458:2263951160,1012102:71:24:1:2263951160:4071387506,1012392:116:24:0:4071387506:2263951165,1012573:92:24:1:2263951165:4071387556,1012580:142:25:1:2263951191:4071387556,1012821:66:16:0:4071387556:2263951268,4428140:122:24:0:4071387556:2263951268,4428293:60:4:1:2263951268:0"
1,1257264487359108,176,2,33362,113,rst_during_handshake,"0:74:2:1:4079027532:0,176:60:20:0:0:4079027533"
