d,st,et,p,sp,dp,ct,fp
0,1257260025004682,6205263,19,60249,25,abortive,"0:74:2:1:1007583991:0,276:74:18:0:2819274054:1007583992,443:66:16:1:1007583992:2819274055,1001811:284:24:0:2819274055:1007583992,1001996:66:16:1:1007583992:2819274273,1002002:81:24:1:1007583992:2819274273,1002247:66:16:0:2819274273:1007584007,1002295:161:24:0:2819274273:1007584007,1002475:95:24:1:1007584007:2819274368,1003780:108:24:0:2819274368:1007584036,1003962:95:24:1:1007584036:2819274410,1006259:112:24:0:2819274410:1007584065,1006426:71:24:1:1007584065:2819274456,1006721:116:24:0:2819274456:1007584070,1006905:90:24:1:1007584070:2819274506,1006913:143:25:1:1007584094:2819274506,1007174:66:16:0:2819274506:1007584172,6205081:122:24:0:2819274506:1007584172,6205263:60:4:1:1007584172:0"
1,1257260025007132,157,2,37471,113,rst_during_handshake,"0:74:2:1:2815065463:0,157:60:20:0:0:2815065464"
0,1257260033381274,1121802,19,38017,25,abortive,"0:74:2:1:1139773332:0,374:74:18:0:2950509061:1139773333,551:66:16:1:1139773333:2950509062,1008743:284:24:0:2950509062:1139773333,1008930:66:16:1:1139773333:2950509280,1008934:81:24:1:1139773333:2950509280,1009182:66:16:0:2950509280:1139773348,1009251:161:24:0:2950509280:1139773348,1009422:95:24:1:1139773348:2950509375,1010677:108:24:0:2950509375:1139773377,1010851:100:24:1:1139773377:2950509417,1013316:117:24:0:2950509417:1139773411,1013490:71:24:1:1139773411:2950509468,1013769:116:24:0:2950509468:1139773416,1013918:95:24:1:1139773416:2950509518,1013950:143:25:1:1139773445:2950509518,1014207:66:16:0:2950509518:1139773523,1121652:122:24:0:2950509518:1139773523,1121802:60:4:1:1139773523:0"
1,1257260033383992,211,2,38356,113,rst_during_handshake,"0:74:2:1:2953591921:0,211:60:20:0:0:2953591922"
0,1257260034411138,1073679,19,40145,25,abortive,"0:74:2:1:1157372994:0,241:74:18:0:2956978017:1157372995,408:66:16:1:1157372995:2956978018,1009775:284:24:0:2956978018:1157372995,1009960:66:16:1:1157372995:2956978236,1009966:81:24:1:1157372995:2956978236,1010209:66:16:0:2956978236:1157373010,1010288:161:24:0:2956978236:1157373010,1010477:95:24:1:1157373010:2956978331,1011915:108:24:0:2956978331:1157373039,1012108:96:24:1:1157373039:2956978373,1014508:113:24:0:2956978373:1157373069,1014658:71:24:1:1157373069:2956978420,1015041:116:24:0:2956978420:1157373074,1015228:91:24:1:1157373074:2956978470,1015254:143:25:1:1157373099:2956978470,1015647:66:16:0:2956978470:1157373177,1073471:122:24:0:2956978470:1157373177,1073679:60:4:1:1157373177:0"
1,1257260034413598,279,2,49737,113,rst_during_handshake,"0:74:2:1:2955487678:0,279:60:20:0:0:2955487679"
0,1257260035437544,1068486,19,44535,25,abortive,"0:74:2:1:1160560673:0,240:74:18:0:2969611319:1160560674,387:66:16:1:1160560674:2969611320,1010845:284:24:0:2969611320:1160560674,1011201:66:16:1:1160560674:2969611538,1011208:81:24:1:1160560674:2969611538,1013088:66:16:0:2969611538:1160560689,1013184:161:24:0:2969611538:1160560689,1013501:95:24:1:1160560689:2969611633,1014983:108:24:0:2969611633:1160560718,1015144:97:24:1:1160560718:2969611675,1017733:114:24:0:2969611675:1160560749,1017905:71:24:1:1160560749:2969611723,1018188:116:24:0:2969611723:1160560754,1018332:92:24:1:1160560754:2969611773,1018364:143:25:1:1160560780:2969611773,1018618:66:16:0:2969611773:1160560858,1068283:122:24:0:2969611773:1160560858,1068486:60:4:1:1160560858:0"
1,1257260035439977,156,2,45334,113,rst_during_handshake,"0:74:2:1:2981526027:0,156:60:20:0:0:2981526028"
0,1257260037500387,1080399,19,54817,25,abortive,"0:74:2:1:1200489304:0,238:74:18:0:3013555881:1200489305,386:66:16:1:1200489305:3013555882,1017961:284:24:0:3013555882:1200489305,1018148:66:16:1:1200489305:3013556100,1018153:81:24:1:1200489305:3013556100,1018397:66:16:0:3013556100:1200489320,1018479:161:24:0:3013556100:1200489320,1018658:95:24:1:1200489320:3013556195,1020021:108:24:0:3013556195:1200489349,1020192:95:24:1:1200489349:3013556237,1022721:112:24:0:3013556237:1200489378,1022868:71:24:1:1200489378:3013556283,1023163:116:24:0:3013556283:1200489383,1023311:90:24:1:1200489383:3013556333,1023346:143:25:1:1200489407:3013556333,1023602:66:16:0:3013556333:1200489485,1080252:122:24:0:3013556333:1200489485,1080399:60:4:1:1200489485:0"
1,1257260037502849,153,2,50600,113,rst_during_handshake,"0:74:2:1:3015408088:0,153:60:20:0:0:3015408089"
0,1257260047967086,1043586,19,42818,25,abortive,"0:74:2:1:1370317894:0,269:74:18:0:3166497123:1370317895,418:66:16:1:1370317895:3166497124,1004904:284:24:0:3166497124:1370317895,1005088:66:16:1:1370317895:3166497342,1005094:81:24:1:1370317895:3166497342,1005346:66:16:0:3166497342:1370317910,1005423:161:24:0:3166497342:1370317910,1005597:95:24:1:1370317910:3166497437,1006841:108:24:0:3166497437:1370317939,1007014:95:24:1:1370317939:3166497479,1009362:112:24:0:3166497479:1370317968,1009541:71:24:1:1370317968:3166497525,1009919:116:24:0:3166497525:1370317973,1010144:90:24:1:1370317973:3166497575,1010151:143:25:1:1370317997:3166497575,1010548:66:16:0:3166497575:1370318075,1043437:122:24:0:3166497575:1370318075,1043586:60:4:1:1370318075:0"
1,1257260047969548,153,2,53636,113,rst_during_handshake,"0:74:2:1:3174334033:0,153:60:20:0:0:3174334034"
0,1257260052156908,1090880,19,58579,25,abortive,"0:74:2:1:1421263743:0,239:74:18:0:3236374270:1421263744,387:66:16:1:1421263744:3236374271,1012153:284:24:0:3236374271:1421263744,1012360:66:16:1:1421263744:3236374489,1012365:81:24:1:1421263744:3236374489,1012728:66:16:0:3236374489:1421263759,1012741:161:24:0:3236374489:1421263759,1012972:95:24:1:1421263759:3236374584,1014341:108:24:0:3236374584:1421263788,1014583:95:24:1:1421263788:3236374626,1016755:112:24:0:3236374626:1421263817,1016923:71:24:1:1421263817:3236374672,1017217:116:24:0:3236374672:1421263822,1017408:90:24:1:1421263822:3236374722,1017414:143:25:1:1421263846:3236374722,1017675:66:16:0:3236374722:1421263924,1090698:122:24:0:3236374722:1421263924,1090880:60:4:1:1421263924:0"
1,1257260052159336,152,2,36187,113,rst_during_handshake,"0:74:2:1:3232107830:0,152:60:20:0:0:3232107831"
0,1257260057304682,1019575,19,44848,25,abortive,"0:74:2:1:1510178961:0,244:74:18:0:3317161467:1510178962,389:66:16:1:1510178962:3317161468,1003503:284:24:0:3317161468:1510178962,1003707:66:16:1:1510178962:3317161686,1003713:81:24:1:1510178962:3317161686,1004139:66:16:0:3317161686:1510178977,1004140:161:24:0:3317161686:1510178977,1004359:95:24:1:1510178977:3317161781,1005851:108:24:0:3317161781:1510179006,1006088:99:24:1:1510179006:3317161823,1008557:116:24:0:3317161823:1510179039,1008765:71:24:1:1510179039:3317161873,1009038:116:24:0:3317161873:1510179044,1009251:94:24:1:1510179044:3317161923,1009259:143:25:1:1510179072:3317161923,1009532:66:16:0:3317161923:1510179150,1019429:122:24:0:3317161923:1510179150,1019575:60:4:1:1510179150:0"
1,1257260057307085,147,2,46482,113,rst_during_handshake,"0:74:2:1:3313039091:0,147:60:20:0:0:3313039092"
0,1257260058324930,1020984,19,49404,25,abortive,"0:74:2:1:1526997906:0,275:74:18:0:3331430744:1526997907,418:66:16:1:1526997907:3331430745,1003171:284:24:0:3331430745:1526997907,1003360:66:16:1:1526997907:3331430963,1003365:81:24:1:1526997907:3331430963,1003608:66:16:0:3331430963:1526997922,1003684:161:24:0:3331430963:1526997922,1003858:95:24:1:1526997922:3331431058,1005141:108:24:0:3331431058:1526997951,1005312:98:24:1:1526997951:3331431100,1007754:115:24:0:3331431100:1526997983,1007925:71:24:1:1526997983:3331431149,1008264:116:24:0:3331431149:1526997988,1008472:93:24:1:1526997988:3331431199,1008479:143:25:1:1526998015:3331431199,1008863:66:16:0:3331431199:1526998093,1020837:122:24:0:3331431199:1526998093,1020984:60:4:1:1526998093:0"
1,1257260058327388,193,2,40895,113,rst_during_handshake,"0:74:2:1:3341991597:0,193:60:20:0:0:3341991598"
0,1257263675882808,1573295,21,35127,25,abortive,"0:74:2:1:2416062131:0,274:74:18:0:4222356332:2416062132,423:66:16:1:2416062132:4222356333,1015259:284:24:0:4222356333:2416062132,1015445:66:16:1:2416062132:4222356551,1015450:81:24:1:2416062132:4222356551,1015705:66:16:0:4222356551:2416062147,1015783:161:24:0:4222356551:2416062147,1015957:95:24:1:2416062147:4222356646,1017298:108:24:0:4222356646:2416062176,1017474:94:24:1:2416062176:4222356688,1057856:66:16:0:4222356688:2416062204,1181463:111:24:0:4222356688:2416062204,1181650:71:24:1:2416062204:4222356733,1181924:66:16:0:4222356733:2416062209,1181977:116:24:0:4222356733:2416062209,1182171:89:24:1:2416062209:4222356783,1182178:139:25:1:2416062232:4222356783,1182453:66:16:0:4222356783:2416062306,1573147:122:24:0:4222356783:2416062306,1573295:60:4:1:2416062306:0"
1,1257263675885323,152,2,34755,113,rst_during_handshake,"0:74:2:1:4230690621:0,152:60:20:0:0:4230690622"
0,1257263681273784,1044324,19,47984,25,abortive,"0:74:2:1:2506871195:0,262:74:18:0:8486520:2506871196,446:66:16:1:2506871196:8486521,1023905:284:24:0:8486521:2506871196,1024090:66:16:1:2506871196:8486739,1024095:81:24:1:2506871196:8486739,1024349:66:16:0:8486739:2506871211,1024437:161:24:0:8486739:2506871211,1024622:95:24:1:2506871211:8486834,1026033:108:24:0:8486834:2506871240,1026229:97:24:1:2506871240:8486876,1028845:114:24:0:8486876:2506871271,1028991:71:24:1:2506871271:8486924,1029275:116:24:0:8486924:2506871276,1029423:92:24:1:2506871276:8486974,1029454:139:25:1:2506871302:8486974,1029738:66:16:0:8486974:2506871376,1044175:122:24:0:8486974:2506871376,1044324:60:4:1:2506871376:0"
1,1257263681276319,151,2,40441,113,rst_during_handshake,"0:74:2:1:24321965:0,151:60:20:0:0:24321966"
0,1257263683347158,1085183,19,42756,25,abortive,"0:74:2:1:2536958234:0,248:74:18:0:56426536:2536958235,395:66:16:1:2536958235:56426537,1010655:284:24:0:56426537:2536958235,1010841:66:16:1:2536958235:56426755,1010846:81:24:1:2536958235:56426755,1011089:66:16:0:56426755:2536958250,1011292:161:24:0:56426755:2536958250,1011505:95:24:1:2536958250:56426850,1013002:108:24:0:56426850:2536958279,1013217:97:24:1:2536958279:56426892,1015590:114:24:0:56426892:2536958310,1015761:71:24:1:2536958310:56426940,1016037:116:24:0:56426940:2536958315,1016223:92:24:1:2536958315:56426990,1016230:139:25:1:2536958341:56426990,1016497:66:16:0:56426990:2536958415,1084922:122:24:0:56426990:2536958415,1085183:60:4:1:2536958415:0"
1,1257263683349725,151,2,40520,113,rst_during_handshake,"0:74:2:1:56172821:0,151:60:20:0:0:56172822"
0,1257263689714381,1116874,19,33204,25,abortive,"0:74:2:1:2628297918:0,239:74:18:0:149328916:2628297919,385:66:16:1:2628297919:149328917,1007491:284:24:0:149328917:2628297919,1007677:66:16:1:2628297919:149329135,1007682:81:24:1:2628297919:149329135,1007927:66:16:0:149329135:2628297934,1007996:161:24:0:149329135:2628297934,1008175:95:24:1:2628297934:149329230,1009489:108:24:0:149329230:2628297963,1009681:100:24:1:2628297963:149329272,1012114:117:24:0:149329272:2628297997,1012287:71:24:1:2628297997:149329323,1012583:116:24:0:149329323:2628298002,1012769:95:24:1:2628298002:149329373,1012776:139:25:1:2628298031:149329373,1013041:66:16:0:149329373:2628298105,1116708:122:24:0:149329373:2628298105,1116874:60:4:1:2628298105:0"
1,1257263689716883,150,2,36442,113,rst_during_handshake,"0:74:2:1:151944197:0,150:60:20:0:0:151944198"
