d,st,et,p,sp,dp,ct,fp
1,1257257956835101,0,1,32512,80,incomplete_no_synack,0:60:2:1:3527673088:0
1,1257257956835623,0,1,5304,80,incomplete_no_synack,0:60:2:1:3527673088:0
1,1257257960834283,0,1,54744,80,incomplete_no_synack,0:60:2:1:3527673088:0
1,1257257964832849,0,1,50913,80,incomplete_no_synack,0:60:2:1:3527673088:0
1,1257257968831528,0,1,58809,80,incomplete_no_synack,0:60:2:1:3527673088:0
1,1257257972830313,0,1,59716,80,incomplete_no_synack,0:60:2:1:3527673088:0
1,1257257976828847,21254344,5,35121,80,incomplete_no_ack,"0:60:2:1:3527673088:0,186:60:18:0:3248481954:3527673089,3253926:60:18:0:3248481954:3527673089,9254061:60:18:0:3248481954:3527673089,21254344:60:18:0:3248481954:3527673089"
1,1257257980827177,0,1,26855,80,incomplete_no_synack,0:60:2:1:3527673088:0
1,1257257984825281,0,1,2726,80,incomplete_no_synack,0:60:2:1:3527673088:0
1,1257257988823554,0,1,51230,80,incomplete_no_synack,0:60:2:1:3527673088:0
1,1257257992821829,9661448,4,51808,80,incomplete_no_ack,"0:60:2:1:3527673088:0,144:60:18:0:3497010633:3527673089,3661309:60:18:0:3497010633:3527673089,9661448:60:18:0:3497010633:3527673089"
1,1257257996820216,9863178,4,30135,80,incomplete_no_ack,"0:60:2:1:3527673088:0,178:60:18:0:3547831082:3527673089,3863032:60:18:0:3547831082:3527673089,9863178:60:18:0:3547831082:3527673089"
1,1257258000818348,0,1,33516,80,incomplete_no_synack,0:60:2:1:3527673088:0
1,1257258004816647,9266904,4,4815,80,incomplete_no_ack,"0:60:2:1:3527673088:0,145:60:18:0:3687517755:3527673089,3266774:60:18:0:3687517755:3527673089,9266904:60:18:0:3687517755:3527673089"
1,1257258008816669,10466998,4,25764,80,incomplete_no_ack,"0:60:2:1:3527673088:0,145:60:18:0:3743310772:3527673089,4466852:60:18:0:3743310772:3527673089,10466998:60:18:0:3743310772:3527673089"
1,1257258012816904,10266851,4,8113,80,incomplete_no_ack,"0:60:2:1:3527673088:0,159:60:18:0:3798278918:3527673089,4266704:60:18:0:3798278918:3527673089,10266851:60:18:0:3798278918:3527673089"
1,1257258016817035,93834125,7,43107,80,incomplete_no_ack,"0:60:2:1:3527673088:0,264:60:18:0:3871352306:3527673089,3466663:60:18:0:3871352306:3527673089,9466780:60:18:0:3871352306:3527673089,21467063:60:18:0:3871352306:3527673089,45657135:60:18:0:3871352306:3527673089,93834125:60:18:0:3871352306:3527673089"
1,1257258020817333,93632009,7,23123,80,incomplete_no_ack,"0:60:2:1:3527673088:0,176:60:18:0:3928634762:3527673089,3266445:60:18:0:3928634762:3527673089,9466579:60:18:0:3928634762:3527673089,21466489:60:18:0:3928634762:3527673089,45455016:60:18:0:3928634762:3527673089,93632009:60:18:0:3928634762:3527673089"
1,1257258024817608,45053028,6,38367,80,incomplete_no_ack,"0:60:2:1:3527673088:0,173:60:18:0:3985174314:3527673089,3066249:60:18:0:3985174314:3527673089,9066380:60:18:0:3985174314:3527673089,21064479:60:18:0:3985174314:3527673089,45053028:60:18:0:3985174314:3527673089"
1,1257258028817718,46450335,6,60285,80,incomplete_no_ack,"0:60:2:1:3527673088:0,156:60:18:0:4063100521:3527673089,4466254:60:18:0:4063100521:3527673089,10466392:60:18:0:4063100521:3527673089,22461804:60:18:0:4063100521:3527673089,46450335:60:18:0:4063100521:3527673089"
1,1257258032817945,45448679,6,48241,80,incomplete_no_ack,"0:60:2:1:3527673088:0,146:60:18:0:4124313256:3527673089,3266085:60:18:0:4124313256:3527673089,9265979:60:18:0:4124313256:3527673089,21260246:60:18:0:4124313256:3527673089,45448679:60:18:0:4124313256:3527673089"
1,1257258036818170,21857826,5,13340,80,incomplete_no_ack,"0:60:2:1:3527673088:0,145:60:18:0:4187168653:3527673089,3865982:60:18:0:4187168653:3527673089,9863548:60:18:0:4187168653:3527673089,21857826:60:18:0:4187168653:3527673089"
1,1257258040818393,4064184,3,10285,80,incomplete_no_ack,"0:60:2:1:3527673088:0,145:60:18:0:4246650306:3527673089,4064184:60:18:0:4246650306:3527673089"
1,1257258044818619,46641704,6,18695,80,incomplete_no_ack,"0:60:2:1:3527673088:0,143:60:18:0:9687506:3527673089,4461853:60:18:0:9687506:3527673089,10459003:60:18:0:9687506:3527673089,22453260:60:18:0:9687506:3527673089,46641704:60:18:0:9687506:3527673089"
1,1257258763894434,9175623,4,15175,80,incomplete_no_ack,"0:60:2:1:3527673088:0,218:60:18:0:2704099124:3527673089,3175477:60:18:0:2704099124:3527673089,9175623:60:18:0:2704099124:3527673089"
1,1257258763894869,0,1,26236,80,incomplete_no_synack,0:60:2:1:3527673088:0
1,1257258767895277,0,1,38876,80,incomplete_no_synack,0:60:2:1:3527673088:0
1,1257258771895722,0,1,40460,80,incomplete_no_synack,0:60:2:1:3527673088:0
1,1257258775896137,22172652,5,14254,80,incomplete_no_ack,"0:60:2:1:3527673088:0,142:60:18:0:2896147117:3527673089,4174070:60:18:0:2896147117:3527673089,10174206:60:18:0:2896147117:3527673089,22172652:60:18:0:2896147117:3527673089"
1,1257258779896597,21574107,5,11938,80,incomplete_no_ack,"0:60:2:1:3527673088:0,149:60:18:0:2961559157:3527673089,3573681:60:18:0:2961559157:3527673089,9573815:60:18:0:2961559157:3527673089,21574107:60:18:0:2961559157:3527673089"
1,1257258783897226,0,1,55657,80,incomplete_no_synack,0:60:2:1:3527673088:0
1,1257258787897896,0,1,1665,80,incomplete_no_synack,0:60:2:1:3527673088:0
1,1257258791898377,9572335,4,4715,80,incomplete_no_ack,"0:60:2:1:3527673088:0,173:60:18:0:3152837693:3527673089,3572183:60:18:0:3152837693:3527673089,9572335:60:18:0:3152837693:3527673089"
1,1257258795899351,0,1,41060,80,incomplete_no_synack,0:60:2:1:3527673088:0
1,1257258799899786,0,1,30008,80,incomplete_no_synack,0:60:2:1:3527673088:0
1,1257258803900549,0,1,9552,80,incomplete_no_synack,0:60:2:1:3527673088:0
1,1257258807901167,9169857,4,25173,80,incomplete_no_ack,"0:60:2:1:3527673088:0,149:60:18:0:3400240320:3527673089,3169737:60:18:0:3400240320:3527673089,9169857:60:18:0:3400240320:3527673089"
1,1257258811902113,9569018,4,21707,80,incomplete_no_ack,"0:60:2:1:3527673088:0,179:60:18:0:3451662936:3527673089,3568889:60:18:0:3451662936:3527673089,9569018:60:18:0:3451662936:3527673089"
1,1257258815902415,0,1,39911,80,incomplete_no_synack,0:60:2:1:3527673088:0
1,1257258819902714,94770499,7,34284,80,incomplete_no_ack,"0:60:2:1:3527673088:0,160:60:18:0:3576700671:3527673089,4568475:60:18:0:3576700671:3527673089,10568611:60:18:0:3576700671:3527673089,22568883:60:18:0:3576700671:3527673089,46569417:60:18:0:3576700671:3527673089,94770499:60:18:0:3576700671:3527673089"
1,1257258823903376,93569908,7,47105,80,incomplete_no_ack,"0:60:2:1:3527673088:0,145:60:18:0:3648821301:3527673089,3367876:60:18:0:3648821301:3527673089,9368010:60:18:0:3648821301:3527673089,21368286:60:18:0:3648821301:3527673089,45368834:60:18:0:3648821301:3527673089,93569908:60:18:0:3648821301:3527673089"
1,1257258827903275,93970087,7,9889,80,incomplete_no_ack,"0:60:2:1:3527673088:0,148:60:18:0:3713641768:3527673089,3565575:60:18:0:3713641768:3527673089,9568204:60:18:0:3713641768:3527673089,21568487:60:18:0:3713641768:3527673089,45767388:60:18:0:3713641768:3527673089,93970087:60:18:0:3713641768:3527673089"
1,1257258831903647,46368743,6,37014,80,incomplete_no_ack,"0:60:2:1:3527673088:0,191:60:18:0:3764435648:3527673089,4167803:60:18:0:3764435648:3527673089,10167935:60:18:0:3764435648:3527673089,22168227:60:18:0:3764435648:3527673089,46368743:60:18:0:3764435648:3527673089"
1,1257258835903797,4567748,3,38138,80,incomplete_no_ack,"0:60:2:1:3527673088:0,145:60:18:0:3826600569:3527673089,4567748:60:18:0:3826600569:3527673089"
1,1257258839904064,45968489,6,13203,80,incomplete_no_ack,"0:60:2:1:3527673088:0,149:60:18:0:3888817716:3527673089,3767562:60:18:0:3888817716:3527673089,9767692:60:18:0:3888817716:3527673089,21767948:60:18:0:3888817716:3527673089,45968489:60:18:0:3888817716:3527673089"
1,1257258843904481,4367239,3,19384,80,incomplete_no_ack,"0:60:2:1:3527673088:0,175:60:18:0:3964018277:3527673089,4367239:60:18:0:3964018277:3527673089"
