d,st,et,p,sp,dp,ct,fp
0,1257264492595593,1135952,19,34365,25,abortive,"0:74:2:1:2344439933:0,259:74:18:0:4159146801:2344439934,413:66:16:1:2344439934:4159146802,1019419:276:24:0:4159146802:2344439934,1019605:66:16:1:2344439934:4159147012,1019612:81:24:1:2344439934:4159147012,1019866:66:16:0:4159147012:2344439949,1019936:155:24:0:4159147012:2344439949,1020112:95:24:1:2344439949:4159147101,1023697:108:24:0:4159147101:2344439978,1023898:93:24:1:2344439978:4159147143,1030205:110:24:0:4159147143:2344440005,1030411:71:24:1:2344440005:4159147187,1030727:116:24:0:4159147187:2344440010,1030936:88:24:1:2344440010:4159147237,1030946:142:25:1:2344440032:4159147237,1031237:66:16:0:4159147237:2344440109,1135805:122:24:0:4159147237:2344440109,1135952:60:4:1:2344440109:0"
1,1257264492598060,150,2,50719,113,rst_during_handshake,"0:74:2:1:4160751293:0,150:60:20:0:0:4160751294"
0,1257264494699463,1131245,19,36511,25,abortive,"0:74:2:1:2382859674:0,243:74:18:0:4192018721:2382859675,414:66:16:1:2382859675:4192018722,1016876:276:24:0:4192018722:2382859675,1017061:66:16:1:2382859675:4192018932,1017067:81:24:1:2382859675:4192018932,1017311:66:16:0:4192018932:2382859690,1017376:155:24:0:4192018932:2382859690,1017553:95:24:1:2382859690:4192019021,1021161:108:24:0:4192019021:2382859719,1021385:93:24:1:2382859719:4192019063,1030821:110:24:0:4192019063:2382859746,1030991:71:24:1:2382859746:4192019107,1031283:116:24:0:4192019107:2382859751,1031429:88:24:1:2382859751:4192019157,1031458:142:25:1:2382859773:4192019157,1031714:66:16:0:4192019157:2382859850,1131049:122:24:0:4192019157:2382859850,1131245:60:4:1:2382859850:0"
1,1257264494702207,151,2,51646,113,rst_during_handshake,"0:74:2:1:4185155730:0,151:60:20:0:0:4185155731"
0,1257264496770117,1077372,19,57943,25,abortive,"0:74:2:1:2407386124:0,545:74:18:0:4219604750:2407386125,726:66:16:1:2407386125:4219604751,1003956:276:24:0:4219604751:2407386125,1004166:66:16:1:2407386125:4219604961,1004171:81:24:1:2407386125:4219604961,1004421:66:16:0:4219604961:2407386140,1004493:155:24:0:4219604961:2407386140,1004668:95:24:1:2407386140:4219605050,1008074:108:24:0:4219605050:2407386169,1008250:97:24:1:2407386169:4219605092,1011633:114:24:0:4219605092:2407386200,1011849:71:24:1:2407386200:4219605140,1012155:116:24:0:4219605140:2407386205,1012358:92:24:1:2407386205:4219605190,1012364:142:25:1:2407386231:4219605190,1012720:66:16:0:4219605190:2407386308,1077170:122:24:0:4219605190:2407386308,1077372:60:4:1:2407386308:0"
1,1257264496772740,148,2,33325,113,rst_during_handshake,"0:74:2:1:4217431539:0,148:60:20:0:0:4217431540"
0,1257264497793605,1042917,19,38517,25,abortive,"0:74:2:1:2420329757:0,367:74:18:0:4232700321:2420329758,558:66:16:1:2420329758:4232700322,1011630:276:24:0:4232700322:2420329758,1011818:66:16:1:2420329758:4232700532,1011824:81:24:1:2420329758:4232700532,1012076:66:16:0:4232700532:2420329773,1012145:155:24:0:4232700532:2420329773,1012324:95:24:1:2420329773:4232700621,1015800:108:24:0:4232700621:2420329802,1015976:94:24:1:2420329802:4232700663,1019076:111:24:0:4232700663:2420329830,1019245:71:24:1:2420329830:4232700708,1019535:116:24:0:4232700708:2420329835,1019775:89:24:1:2420329835:4232700758,1019782:142:25:1:2420329858:4232700758,1020117:66:16:0:4232700758:2420329935,1042773:122:24:0:4232700758:2420329935,1042917:60:4:1:2420329935:0"
1,1257264497796197,156,2,46400,113,rst_during_handshake,"0:74:2:1:4241201641:0,156:60:20:0:0:4241201642"
0,1257264500890658,1202517,19,44270,25,abortive,"0:74:2:1:2468726449:0,249:74:18:0:4279137776:2468726450,396:66:16:1:2468726450:4279137777,1016639:276:24:0:4279137777:2468726450,1016826:66:16:1:2468726450:4279137987,1016830:81:24:1:2468726450:4279137987,1017081:66:16:0:4279137987:2468726465,1017174:155:24:0:4279137987:2468726465,1017350:95:24:1:2468726465:4279138076,1020774:108:24:0:4279138076:2468726494,1020963:98:24:1:2468726494:4279138118,1024336:115:24:0:4279138118:2468726526,1024483:71:24:1:2468726526:4279138167,1024759:116:24:0:4279138167:2468726531,1024950:93:24:1:2468726531:4279138217,1024956:142:25:1:2468726558:4279138217,1025216:66:16:0:4279138217:2468726635,1202356:122:24:0:4279138217:2468726635,1202517:60:4:1:2468726635:0"
1,1257264500899638,150,2,47799,113,rst_during_handshake,"0:74:2:1:4283862820:0,150:60:20:0:0:4283862821"
