start_time,src_port,dst_port,close_type,packets
1257431498639286,32972,113,4,"0:2:0,148:20:1"
1257431628490002,33096,25,2,"0:2:1,245:18:0,387:16:1,1016463:24:0,1016654:16:1,1016661:24:1,1016916:16:0,1017102:24:0,1017322:24:1,1018641:24:0,1018856:24:1,1022121:24:0,1022291:24:1,1022588:24:0,1022775:24:1,1022782:25:1,1023048:16:0,1050470:24:0,1050615:4:1"
1257283600973373,33188,25,2,"0:2:1,248:18:0,393:16:1,1016038:24:0,1016227:16:1,1016233:24:1,1016492:16:0,1016566:24:0,1016741:24:1,1017985:24:0,1018157:24:1,1021897:24:0,1022075:24:1,1022645:24:0,1022834:24:1,1022868:25:1,1023286:16:0,1072405:24:0,1072551:4:1"
1257359351322148,33270,113,4,"0:2:0,152:20:1"
1257283625312588,33279,113,4,"0:2:0,148:20:1"
1257283582310882,33295,113,4,"0:2:0,150:20:1"
1257431535930840,33543,113,4,"0:2:0,195:20:1"
1257359313992546,33570,25,2,"0:2:1,253:18:0,402:16:1,1006571:24:0,1006896:16:1,1006901:24:1,1007589:16:0,1007690:24:0,1007878:24:1,1009551:24:0,1009785:24:1,1013178:24:0,1013344:24:1,1013642:24:0,1013831:24:1,1013838:25:1,1014107:16:0,1078861:24:0,1079008:4:1"
1257259111382140,34051,113,4,"0:2:0,152:20:1"
1257431630561728,34300,25,2,"0:2:1,267:18:0,412:16:1,1002956:24:0,1003151:16:1,1003157:24:1,1003423:16:0,1003480:24:0,1003654:24:1,1005009:24:0,1005187:24:1,1008535:24:0,1008702:24:1,1009003:24:0,1009190:24:1,1009197:25:1,1009463:16:0,1016494:24:0,1016640:4:1"
1257283628460506,34424,113,4,"0:2:0,174:20:1"
1257413896546976,34519,113,4,"0:2:0,150:20:1"
1257283543277617,34522,113,4,"0:2:0,149:20:1"
1257259108271138,34585,113,4,"0:2:0,211:20:1"
1257259061093108,34730,25,2,"0:2:1,271:18:0,415:16:1,1016183:24:0,1016405:16:1,1016410:24:1,1016669:16:0,1016754:24:0,1016933:24:1,1018429:24:0,1018631:24:1,1025089:24:0,1025331:24:1,1028688:24:0,1028946:24:1,1028958:25:1,1030674:16:0,1041767:24:0,1041913:4:1"
1257420770636671,34793,25,2,"0:2:1,248:18:0,386:16:1,1007632:24:0,1007815:16:1,1007819:24:1,1008068:16:0,1008160:24:0,1008330:24:1,1009742:24:0,1009914:24:1,1013307:24:0,1013467:24:1,1013764:24:0,1013935:24:1,1013940:25:1,1014203:16:0,1031992:24:0,1032132:4:1"
