d,st,et,p,sp,dp,ct,fp
0,1257260079955814,5568901,19,55075,25,abortive,"0:74:2:1:1859587642:0,280:74:18:0:3672849803:1859587643,456:66:16:1:1859587643:3672849804,1003602:282:24:0:3672849804:1859587643,1003828:66:16:1:1859587643:3672850020,1003835:81:24:1:1859587643:3672850020,1004420:66:16:0:3672850020:1859587658,1004495:159:24:0:3672850020:1859587658,1004707:95:24:1:1859587658:3672850113,1006043:108:24:0:3672850113:1859587687,1006223:97:24:1:1859587687:3672850155,1008755:114:24:0:3672850155:1859587718,1008926:71:24:1:1859587718:3672850203,1009266:116:24:0:3672850203:1859587723,1009557:92:24:1:1859587723:3672850253,1009568:143:25:1:1859587749:3672850253,1009842:66:16:0:3672850253:1859587827,5568754:122:24:0:3672850253:1859587827,5568901:60:4:1:1859587827:0"
1,1257260079958276,148,2,39223,113,rst_during_handshake,"0:74:2:1:3676923616:0,148:60:20:0:0:3676923617"
0,1257260082002665,3507338,19,44446,25,abortive,"0:74:2:1:1888077344:0,240:74:18:0:3705771642:1888077345,387:66:16:1:1888077345:3705771643,1015445:282:24:0:3705771643:1888077345,1015630:66:16:1:1888077345:3705771859,1015636:81:24:1:1888077345:3705771859,1015885:66:16:0:3705771859:1888077360,1015963:159:24:0:3705771859:1888077360,1016138:95:24:1:1888077360:3705771952,1017410:108:24:0:3705771952:1888077389,1017608:95:24:1:1888077389:3705771994,1020913:112:24:0:3705771994:1888077418,1021083:71:24:1:1888077418:3705772040,1021372:116:24:0:3705772040:1888077423,1021558:90:24:1:1888077423:3705772090,1021564:143:25:1:1888077447:3705772090,1021839:66:16:0:3705772090:1888077525,3507143:122:24:0:3705772090:1888077525,3507338:60:4:1:1888077525:0"
1,1257260082005156,162,2,57517,113,rst_during_handshake,"0:74:2:1:3708564683:0,162:60:20:0:0:3708564684"
0,1257260085076620,1712834,21,43456,25,abortive,"0:74:2:1:1949898240:0,245:74:18:0:3745872590:1949898241,394:66:16:1:1949898241:3745872591,1020501:282:24:0:3745872591:1949898241,1020716:66:16:1:1949898241:3745872807,1020722:81:24:1:1949898241:3745872807,1021040:66:16:0:3745872807:1949898256,1021042:159:24:0:3745872807:1949898256,1021259:95:24:1:1949898256:3745872900,1022539:108:24:0:3745872900:1949898285,1022713:93:24:1:1949898285:3745872942,1070327:66:16:0:3745872942:1949898312,1296303:110:24:0:3745872942:1949898312,1296473:71:24:1:1949898312:3745872986,1296725:66:16:0:3745872986:1949898317,1296923:116:24:0:3745872986:1949898317,1297157:88:24:1:1949898317:3745873036,1297164:143:25:1:1949898339:3745873036,1297442:66:16:0:3745873036:1949898417,1712558:122:24:0:3745873036:1949898417,1712834:60:4:1:1949898417:0"
1,1257260085079132,150,2,54217,113,rst_during_handshake,"0:74:2:1:3752811335:0,150:60:20:0:0:3752811336"
0,1257260087417109,1105441,19,47226,25,abortive,"0:74:2:1:1972496543:0,244:74:18:0:3782466238:1972496544,391:66:16:1:1972496544:3782466239,1040809:282:24:0:3782466239:1972496544,1041150:66:16:1:1972496544:3782466455,1041155:81:24:1:1972496544:3782466455,1041790:66:16:0:3782466455:1972496559,1041890:159:24:0:3782466455:1972496559,1042221:95:24:1:1972496559:3782466548,1044043:108:24:0:3782466548:1972496588,1044213:94:24:1:1972496588:3782466590,1047265:111:24:0:3782466590:1972496616,1049794:71:24:1:1972496616:3782466635,1050118:116:24:0:3782466635:1972496621,1050742:89:24:1:1972496621:3782466685,1050748:143:25:1:1972496644:3782466685,1051017:66:16:0:3782466685:1972496722,1105293:122:24:0:3782466685:1972496722,1105441:60:4:1:1972496722:0"
1,1257260087435693,150,2,44335,113,rst_during_handshake,"0:74:2:1:3788741814:0,150:60:20:0:0:3788741815"
0,1257260088489421,1130409,19,45486,25,abortive,"0:74:2:1:1992583397:0,241:74:18:0:3807252721:1992583398,388:66:16:1:1992583398:3807252722,1019034:282:24:0:3807252722:1992583398,1019220:66:16:1:1992583398:3807252938,1019225:81:24:1:1992583398:3807252938,1019477:66:16:0:3807252938:1992583413,1019533:159:24:0:3807252938:1992583413,1019706:95:24:1:1992583413:3807253031,1020983:108:24:0:3807253031:1992583442,1021162:96:24:1:1992583442:3807253073,1024418:113:24:0:3807253073:1992583472,1024564:71:24:1:1992583472:3807253120,1024856:116:24:0:3807253120:1992583477,1025044:91:24:1:1992583477:3807253170,1025051:143:25:1:1992583502:3807253170,1025315:66:16:0:3807253170:1992583580,1130260:122:24:0:3807253170:1992583580,1130409:60:4:1:1992583580:0"
1,1257260088491989,196,2,51307,113,rst_during_handshake,"0:74:2:1:3798683641:0,196:60:20:0:0:3798683642"
0,1257260091586220,1032153,19,37087,25,abortive,"0:74:2:1:2038750562:0,239:74:18:0:3851122674:2038750563,388:66:16:1:2038750563:3851122675,1010484:282:24:0:3851122675:2038750563,1010677:66:16:1:2038750563:3851122891,1010682:81:24:1:2038750563:3851122891,1010925:66:16:0:3851122891:2038750578,1010992:159:24:0:3851122891:2038750578,1011171:95:24:1:2038750578:3851122984,1012412:108:24:0:3851122984:2038750607,1012599:93:24:1:2038750607:3851123026,1015301:110:24:0:3851123026:2038750634,1015480:71:24:1:2038750634:3851123070,1015757:116:24:0:3851123070:2038750639,1015942:88:24:1:2038750639:3851123120,1015949:143:25:1:2038750661:3851123120,1016216:66:16:0:3851123120:2038750739,1032004:122:24:0:3851123120:2038750739,1032153:60:4:1:2038750739:0"
1,1257260091588641,151,2,37050,113,rst_during_handshake,"0:74:2:1:3861402168:0,151:60:20:0:0:3861402169"
0,1257260092613023,1066891,19,48563,25,abortive,"0:74:2:1:2068259015:0,243:74:18:0:3868865720:2068259016,391:66:16:1:2068259016:3868865721,1014985:282:24:0:3868865721:2068259016,1015170:66:16:1:2068259016:3868865937,1015177:81:24:1:2068259016:3868865937,1015424:66:16:0:3868865937:2068259031,1015494:159:24:0:3868865937:2068259031,1015674:95:24:1:2068259031:3868866030,1016914:108:24:0:3868866030:2068259060,1017091:95:24:1:2068259060:3868866072,1020182:112:24:0:3868866072:2068259089,1020349:71:24:1:2068259089:3868866118,1020644:116:24:0:3868866118:2068259094,1020825:90:24:1:2068259094:3868866168,1020832:143:25:1:2068259118:3868866168,1021085:66:16:0:3868866168:2068259196,1066706:122:24:0:3868866168:2068259196,1066891:60:4:1:2068259196:0"
1,1257260092615538,151,2,36521,113,rst_during_handshake,"0:74:2:1:3869220533:0,151:60:20:0:0:3869220534"
0,1257260093644720,1056694,19,35305,25,abortive,"0:74:2:1:2072822083:0,238:74:18:0:3891672921:2072822084,383:66:16:1:2072822084:3891672922,1014104:282:24:0:3891672922:2072822084,1014344:66:16:1:2072822084:3891673138,1014351:81:24:1:2072822084:3891673138,1014750:66:16:0:3891673138:2072822099,1014752:159:24:0:3891673138:2072822099,1014966:95:24:1:2072822099:3891673231,1016218:108:24:0:3891673231:2072822128,1016392:94:24:1:2072822128:3891673273,1019239:111:24:0:3891673273:2072822156,1019405:71:24:1:2072822156:3891673318,1019692:116:24:0:3891673318:2072822161,1019884:89:24:1:2072822161:3891673368,1019891:143:25:1:2072822184:3891673368,1020157:66:16:0:3891673368:2072822262,1056548:122:24:0:3891673368:2072822262,1056694:60:4:1:2072822262:0"
1,1257260093647250,152,2,40087,113,rst_during_handshake,"0:74:2:1:3885429395:0,152:60:20:0:0:3885429396"
