timestamp,src_ip,dst_ip,src_port,dst_port,flags,flag_type,length
1257372004743167,172.28.11.150,201.89.32.16,43311,80,2,SYN,74
1257372004743289,201.89.32.16,172.28.11.150,80,43311,18,SYN+ACK,74
1257372004743483,172.28.11.150,201.89.32.16,43311,80,16,ACK,66
1257372004743489,172.28.11.150,201.89.32.16,43311,80,24,PSH+ACK,96
1257372004743624,201.89.32.16,172.28.11.150,80,43311,16,ACK,66
1257372014750543,201.89.32.16,172.28.11.150,80,43311,24,PSH+ACK,562
1257372014750543,201.89.32.16,172.28.11.150,80,43311,17,FIN+ACK,66
1257372014750741,172.28.11.150,201.89.32.16,43311,80,16,ACK,66
1257372014750813,172.28.11.150,68.91.226.37,58732,80,2,SYN,74
1257372014750935,68.91.226.37,172.28.11.150,80,58732,18,SYN+ACK,74
1257372014751085,172.28.11.150,68.91.226.37,58732,80,16,ACK,66
1257372014751122,172.28.11.150,68.91.226.37,58732,80,24,PSH+ACK,91
1257372014751235,68.91.226.37,172.28.11.150,80,58732,16,ACK,66
1257372014788742,172.28.11.150,201.89.32.16,43311,80,16,ACK,66
1257372024752772,68.91.226.37,172.28.11.150,80,58732,24,PSH+ACK,138
1257372024752919,68.91.226.37,172.28.11.150,80,58732,16,ACK,1514
1257372024752947,172.28.11.150,68.91.226.37,58732,80,16,ACK,66
1257372024753130,68.91.226.37,172.28.11.150,80,58732,16,ACK,1514
1257372024753142,68.91.226.37,172.28.11.150,80,58732,16,ACK,1514
1257372024753192,172.28.11.150,68.91.226.37,58732,80,16,ACK,66
1257372024753385,68.91.226.37,172.28.11.150,80,58732,16,ACK,1514
1257372024753398,68.91.226.37,172.28.11.150,80,58732,16,ACK,1514
1257372024753410,172.28.11.150,68.91.226.37,58732,80,16,ACK,66
1257372024753415,172.28.11.150,68.91.226.37,58732,80,16,ACK,66
1257372024753595,68.91.226.37,172.28.11.150,80,58732,16,ACK,1514
1257372024753608,68.91.226.37,172.28.11.150,80,58732,16,ACK,1514
1257372024753620,68.91.226.37,172.28.11.150,80,58732,16,ACK,1514
1257372024753632,68.91.226.37,172.28.11.150,80,58732,24,PSH+ACK,1514
1257372024753641,68.91.226.37,172.28.11.150,80,58732,25,ACK+FIN+PSH,1103
1257372024753675,172.28.11.150,68.91.226.37,58732,80,16,ACK,66
1257372024753678,172.28.11.150,68.91.226.37,58732,80,16,ACK,66
1257372024753934,172.28.11.150,68.91.226.37,58732,80,16,ACK,66
1257372024753939,172.28.11.150,68.91.226.37,58732,80,16,ACK,66
1257372024753943,172.28.11.150,68.91.226.37,58732,80,16,ACK,66
1257372024753948,172.28.11.150,68.91.226.37,58732,80,16,ACK,66
1257372024792090,172.28.11.150,68.91.226.37,58732,80,16,ACK,66
1257372031744532,172.28.131.186,201.89.32.16,47960,80,2,SYN,74
1257372031744656,201.89.32.16,172.28.131.186,80,47960,18,SYN+ACK,74
1257372031744810,172.28.131.186,201.89.32.16,47960,80,16,ACK,66
1257372031744846,172.28.131.186,201.89.32.16,47960,80,24,PSH+ACK,96
1257372031744963,201.89.32.16,172.28.131.186,80,47960,16,ACK,66
1257372034780997,172.28.11.150,77.91.104.22,42465,80,2,SYN,74
1257372034781111,77.91.104.22,172.28.11.150,80,42465,18,SYN+ACK,74
1257372034781305,172.28.11.150,77.91.104.22,42465,80,16,ACK,66
1257372034781310,172.28.11.150,77.91.104.22,42465,80,24,PSH+ACK,86
1257372034781448,77.91.104.22,172.28.11.150,80,42465,16,ACK,66
1257372034781532,77.91.104.22,172.28.11.150,80,42465,24,PSH+ACK,83
1257372034781588,77.91.104.22,172.28.11.150,80,42465,25,ACK+FIN+PSH,135
1257372034781702,172.28.11.150,77.91.104.22,42465,80,16,ACK,66
1257372034788617,172.28.11.150,77.91.104.22,41181,80,2,SYN,74
1257372034788732,77.91.104.22,172.28.11.150,80,41181,18,SYN+ACK,74
1257372034788879,172.28.11.150,77.91.104.22,41181,80,16,ACK,66
1257372034788901,172.28.11.150,77.91.104.22,41181,80,24,PSH+ACK,89
1257372034789018,77.91.104.22,172.28.11.150,80,41181,16,ACK,66
1257372034789084,77.91.104.22,172.28.11.150,80,41181,24,PSH+ACK,83
1257372034789230,172.28.11.150,77.91.104.22,41181,80,16,ACK,66
1257372034789324,77.91.104.22,172.28.11.150,80,41181,16,ACK,1514
1257372034789385,77.91.104.22,172.28.11.150,80,41181,24,PSH+ACK,934
1257372034789554,77.91.104.22,172.28.11.150,80,41181,16,ACK,1514
1257372034789555,172.28.11.150,77.91.104.22,41181,80,16,ACK,66
1257372034789602,172.28.11.150,77.91.104.22,41181,80,16,ACK,66
1257372034789625,77.91.104.22,172.28.11.150,80,41181,25,ACK+FIN+PSH,1029
1257372034789797,172.28.11.150,77.91.104.22,41181,80,16,ACK,66
1257372034821074,172.28.11.150,77.91.104.22,42465,80,16,ACK,66
1257372034829823,172.28.11.150,77.91.104.22,41181,80,16,ACK,66
1257372041745362,172.28.16.212,201.89.32.16,57907,80,2,SYN,74
1257372041745486,201.89.32.16,172.28.16.212,80,57907,18,SYN+ACK,74
1257372041745639,172.28.16.212,201.89.32.16,57907,80,16,ACK,66
1257372041745658,172.28.16.212,201.89.32.16,57907,80,24,PSH+ACK,96
1257372041745780,201.89.32.16,172.28.16.212,80,57907,16,ACK,66
1257372041746972,201.89.32.16,172.28.131.186,80,47960,24,PSH+ACK,562
1257372041746972,201.89.32.16,172.28.131.186,80,47960,17,FIN+ACK,66
1257372041747168,172.28.131.186,201.89.32.16,47960,80,16,ACK,66
1257372041747233,172.28.131.186,68.91.226.37,55172,80,2,SYN,74
1257372041747354,68.91.226.37,172.28.131.186,80,55172,18,SYN+ACK,74
1257372041747541,172.28.131.186,68.91.226.37,55172,80,16,ACK,66
1257372041747546,172.28.131.186,68.91.226.37,55172,80,24,PSH+ACK,91
1257372041747667,68.91.226.37,172.28.131.186,80,55172,16,ACK,66
1257372041780474,172.28.131.186,201.89.32.16,47960,80,16,ACK,66
1257372046812718,172.28.11.150,64.180.1.1,48557,25,2,SYN,74
1257372046812996,64.180.1.1,172.28.11.150,25,48557,18,SYN+ACK,74
1257372046813148,172.28.11.150,64.180.1.1,48557,25,16,ACK,66
1257372046815975,64.180.1.1,172.28.11.150,53687,113,2,SYN,74
1257372046816125,172.28.11.150,64.180.1.1,113,53687,20,RST+ACK,60
1257372047819672,64.180.1.1,172.28.11.150,25,48557,24,PSH+ACK,282
1257372047819862,172.28.11.150,64.180.1.1,48557,25,16,ACK,66
1257372047819867,172.28.11.150,64.180.1.1,48557,25,24,PSH+ACK,81
1257372047820118,64.180.1.1,172.28.11.150,25,48557,16,ACK,66
1257372047820194,64.180.1.1,172.28.11.150,25,48557,24,PSH+ACK,159
1257372047820372,172.28.11.150,64.180.1.1,48557,25,24,PSH+ACK,95
1257372047821617,64.180.1.1,172.28.11.150,25,48557,24,PSH+ACK,108
1257372047821789,172.28.11.150,64.180.1.1,48557,25,24,PSH+ACK,95
1257372047824884,64.180.1.1,172.28.11.150,25,48557,24,PSH+ACK,112
1257372047825050,172.28.11.150,64.180.1.1,48557,25,24,PSH+ACK,71
1257372047825330,64.180.1.1,172.28.11.150,25,48557,24,PSH+ACK,116
1257372047825515,172.28.11.150,64.180.1.1,48557,25,24,PSH+ACK,90
1257372047825521,172.28.11.150,64.180.1.1,48557,25,25,ACK+FIN+PSH,143
1257372047825792,64.180.1.1,172.28.11.150,25,48557,16,ACK,66
1257372047837369,172.28.11.150,70.98.1.1,35388,25,2,SYN,74
1257372047837642,70.98.1.1,172.28.11.150,25,35388,18,SYN+ACK,74
1257372047837792,172.28.11.150,70.98.1.1,35388,25,16,ACK,66
1257372047838038,64.180.1.1,172.28.11.150,25,48557,24,PSH+ACK,122
1257372047838186,172.28.11.150,64.180.1.1,48557,25,4,RST,60
1257372047839789,70.98.1.1,172.28.11.150,60308,113,2,SYN,74
1257372047839938,172.28.11.150,70.98.1.1,113,60308,20,RST+ACK,60
1257372048843470,70.98.1.1,172.28.11.150,25,35388,24,PSH+ACK,282
1257372048843662,172.28.11.150,70.98.1.1,35388,25,16,ACK,66
1257372048843667,172.28.11.150,70.98.1.1,35388,25,24,PSH+ACK,81
1257372048843919,70.98.1.1,172.28.11.150,25,35388,16,ACK,66
1257372048844001,70.98.1.1,172.28.11.150,25,35388,24,PSH+ACK,159
1257372048844175,172.28.11.150,70.98.1.1,35388,25,24,PSH+ACK,95
1257372048847675,70.98.1.1,172.28.11.150,25,35388,24,PSH+ACK,108
1257372048847850,172.28.11.150,70.98.1.1,35388,25,24,PSH+ACK,98
1257372048850477,70.98.1.1,172.28.11.150,25,35388,24,PSH+ACK,115
1257372048850654,172.28.11.150,70.98.1.1,35388,25,24,PSH+ACK,71
1257372048850961,70.98.1.1,172.28.11.150,25,35388,24,PSH+ACK,116
1257372048851143,172.28.11.150,70.98.1.1,35388,25,24,PSH+ACK,93
1257372048851150,172.28.11.150,70.98.1.1,35388,25,25,ACK+FIN+PSH,143
1257372048851414,70.98.1.1,172.28.11.150,25,35388,16,ACK,66
1257372048861944,172.28.11.150,66.200.1.1,33093,25,2,SYN,74
1257372048862214,66.200.1.1,172.28.11.150,25,33093,18,SYN+ACK,74
1257372048862389,172.28.11.150,66.200.1.1,33093,25,16,ACK,66
1257372048864414,66.200.1.1,172.28.11.150,48759,113,2,SYN,74
1257372048864563,172.28.11.150,66.200.1.1,113,48759,20,RST+ACK,60
1257372048874975,70.98.1.1,172.28.11.150,25,35388,24,PSH+ACK,122
1257372048875122,172.28.11.150,70.98.1.1,35388,25,4,RST,60
1257372049869776,66.200.1.1,172.28.11.150,25,33093,24,PSH+ACK,284
1257372049869961,172.28.11.150,66.200.1.1,33093,25,16,ACK,66
1257372049869966,172.28.11.150,66.200.1.1,33093,25,24,PSH+ACK,81
