timestamp,src_ip,dst_ip,src_port,dst_port,flags,flag_type,length
1257324617707044,205.63.202.67,172.28.1.134,80,32888,24,PSH+ACK,615
1257324617707045,205.63.202.67,172.28.1.134,80,32888,17,FIN+ACK,66
1257324617707248,172.28.1.134,205.63.202.67,32888,80,16,ACK,66
1257324617743599,172.28.1.134,205.63.202.67,32888,80,16,ACK,66
1257324627705710,205.63.202.67,172.28.1.203,80,47841,24,PSH+ACK,615
1257324627705710,205.63.202.67,172.28.1.203,80,47841,17,FIN+ACK,66
1257324627705910,172.28.1.203,205.63.202.67,47841,80,16,ACK,66
1257324627741929,172.28.1.203,205.63.202.67,47841,80,16,ACK,66
1257324628691278,172.28.129.124,205.63.202.67,35826,80,2,SYN,74
1257324628691399,205.63.202.67,172.28.129.124,80,35826,18,SYN+ACK,74
1257324628691590,172.28.129.124,205.63.202.67,35826,80,16,ACK,66
1257324628691596,172.28.129.124,205.63.202.67,35826,80,24,PSH+ACK,96
1257324628691721,205.63.202.67,172.28.129.124,80,35826,16,ACK,66
1257324638688067,205.63.202.67,172.28.129.124,80,35826,24,PSH+ACK,615
1257324638688068,205.63.202.67,172.28.129.124,80,35826,17,FIN+ACK,66
1257324638688273,172.28.129.124,205.63.202.67,35826,80,16,ACK,66
1257324638722802,172.28.129.124,205.63.202.67,35826,80,16,ACK,66
1257324646697284,172.28.133.12,205.63.202.67,43664,80,2,SYN,74
1257324646697406,205.63.202.67,172.28.133.12,80,43664,18,SYN+ACK,74
1257324646697595,172.28.133.12,205.63.202.67,43664,80,16,ACK,66
1257324646697601,172.28.133.12,205.63.202.67,43664,80,24,PSH+ACK,96
1257324646697723,205.63.202.67,172.28.133.12,80,43664,16,ACK,66
1257324656694177,205.63.202.67,172.28.133.12,80,43664,24,PSH+ACK,615
1257324656694178,205.63.202.67,172.28.133.12,80,43664,17,FIN+ACK,66
1257324656694382,172.28.133.12,205.63.202.67,43664,80,16,ACK,66
1257324656733822,172.28.133.12,205.63.202.67,43664,80,16,ACK,66
1257324671693745,172.28.133.158,205.63.202.67,40497,80,2,SYN,74
1257324671693870,205.63.202.67,172.28.133.158,80,40497,18,SYN+ACK,74
1257324671694061,172.28.133.158,205.63.202.67,40497,80,16,ACK,66
1257324671694067,172.28.133.158,205.63.202.67,40497,80,24,PSH+ACK,96
1257324671694190,205.63.202.67,172.28.133.158,80,40497,16,ACK,66
