timestamp,src_ip,dst_ip,src_port,dst_port,flags,flag_type,length
1257274163657226,172.28.4.7,17.202.87.37,80,23060,18,SYN+ACK,60
1257274164657253,172.28.4.7,17.59.230.16,80,25177,18,SYN+ACK,60
1257274164657257,172.28.4.7,19.16.150.31,80,47848,18,SYN+ACK,60
1257274164857255,172.28.4.7,16.199.43.11,80,52708,18,SYN+ACK,60
1257274166257291,172.28.4.7,20.21.128.24,80,15342,18,SYN+ACK,60
1257274166257298,172.28.4.7,17.246.169.62,80,16011,18,SYN+ACK,60
1257274166257308,172.28.4.7,15.231.243.19,80,34045,18,SYN+ACK,60
1257274166457299,172.28.4.7,19.214.138.15,80,19145,18,SYN+ACK,60
1257274166457303,172.28.4.7,16.225.81.18,80,57387,18,SYN+ACK,60
1257274166457308,172.28.4.7,19.202.221.20,80,3446,18,SYN+ACK,60
1257274166457312,172.28.4.7,16.5.197.28,80,46532,18,SYN+ACK,60
1257274166657295,172.28.4.7,16.231.228.19,80,31424,18,SYN+ACK,60
1257274166857300,172.28.4.7,18.177.218.56,80,27387,18,SYN+ACK,60
1257274167457316,172.28.4.7,15.184.166.14,80,38735,18,SYN+ACK,60
1257274167457324,172.28.4.7,16.244.78.44,80,36169,18,SYN+ACK,60
1257274168657345,172.28.4.7,17.241.216.32,80,33425,18,SYN+ACK,60
1257274168657350,172.28.4.7,19.16.150.31,80,50592,18,SYN+ACK,60
1257274168657354,172.28.4.7,17.59.230.16,80,10136,18,SYN+ACK,60
1257274169457356,172.28.4.7,20.18.5.11,80,51036,18,SYN+ACK,60
1257274169657360,172.28.4.7,20.21.128.24,80,7300,18,SYN+ACK,60
1257274170657393,172.28.4.7,16.98.115.22,80,22551,18,SYN+ACK,60
1257274170657398,172.28.4.7,17.163.65.12,80,49164,18,SYN+ACK,60
1257274170657402,172.28.4.7,16.231.228.19,80,21485,18,SYN+ACK,60
1257274170857387,172.28.4.7,20.38.7.15,80,22118,18,SYN+ACK,60
1257274173257443,172.28.4.7,16.225.81.18,80,42149,18,SYN+ACK,60
1257274173657454,172.28.4.7,17.246.169.62,80,32042,18,SYN+ACK,60
1257274173857453,172.28.4.7,20.21.128.24,80,48858,18,SYN+ACK,60
1257274174657475,172.28.4.7,16.231.228.19,80,53586,18,SYN+ACK,60
1257274175257486,172.28.4.7,19.214.138.15,80,2163,18,SYN+ACK,60
1257274176457514,172.28.4.7,17.241.216.32,80,10455,18,SYN+ACK,60
1257274178257555,172.28.4.7,19.214.138.15,80,53167,18,SYN+ACK,60
1257274180457606,172.28.4.7,16.244.78.44,80,7479,18,SYN+ACK,60
1257274180657610,172.28.4.7,17.241.216.32,80,5983,18,SYN+ACK,60
