timestamp,src_ip,dst_ip,src_port,dst_port,flags,flag_type,length
1257459909777747,172.28.195.194,152.162.178.254,43145,499,2,SYN,60
1257459909777756,172.28.195.194,152.162.178.254,27964,499,2,SYN,60
1257459909777878,152.162.178.254,172.28.195.194,499,43145,18,SYN+ACK,60
1257459909777891,152.162.178.254,172.28.195.194,499,27964,18,SYN+ACK,60
1257459909778082,172.28.195.194,152.162.178.254,43145,499,4,RST,60
1257459909778087,172.28.195.194,152.162.178.254,27964,499,4,RST,60
1257459909781196,172.28.133.12,152.162.178.254,58079,499,2,SYN,60
1257459909781203,172.28.133.12,152.162.178.254,4465,499,2,SYN,60
1257459909781324,152.162.178.254,172.28.133.12,499,58079,18,SYN+ACK,60
1257459909781338,152.162.178.254,172.28.133.12,499,4465,18,SYN+ACK,60
1257459909781526,172.28.133.12,152.162.178.254,58079,499,4,RST,60
1257459909781530,172.28.133.12,152.162.178.254,4465,499,4,RST,60
1257459909784019,172.28.133.158,152.162.178.254,2827,499,2,SYN,60
1257459909784027,172.28.133.158,152.162.178.254,42064,499,2,SYN,60
1257459909784151,152.162.178.254,172.28.133.158,499,2827,18,SYN+ACK,60
1257459909784165,152.162.178.254,172.28.133.158,499,42064,18,SYN+ACK,60
1257459909784353,172.28.133.158,152.162.178.254,2827,499,4,RST,60
1257459909784358,172.28.133.158,152.162.178.254,42064,499,4,RST,60
1257459909790932,172.28.129.124,152.162.178.254,22749,499,2,SYN,60
1257459909790939,172.28.129.124,152.162.178.254,56287,499,2,SYN,60
1257459909791054,152.162.178.254,172.28.129.124,499,22749,18,SYN+ACK,60
1257459909791066,152.162.178.254,172.28.129.124,499,56287,18,SYN+ACK,60
1257459909791254,172.28.129.124,152.162.178.254,22749,499,4,RST,60
1257459909791259,172.28.129.124,152.162.178.254,56287,499,4,RST,60
1257459909802326,172.28.133.86,152.162.178.254,8097,499,2,SYN,60
1257459909802334,172.28.133.86,152.162.178.254,20145,499,2,SYN,60
1257459909802450,152.162.178.254,172.28.133.86,499,8097,18,SYN+ACK,60
1257459909802462,152.162.178.254,172.28.133.86,499,20145,18,SYN+ACK,60
1257459909802651,172.28.133.86,152.162.178.254,8097,499,4,RST,60
1257459909802655,172.28.133.86,152.162.178.254,20145,499,4,RST,60
1257459909877712,172.28.195.194,152.162.178.254,55464,499,2,SYN,60
1257459909877816,152.162.178.254,172.28.195.194,499,55464,18,SYN+ACK,60
1257459909877966,172.28.195.194,152.162.178.254,55464,499,4,RST,60
1257459909881156,172.28.133.12,152.162.178.254,50676,499,2,SYN,60
1257459909881260,152.162.178.254,172.28.133.12,499,50676,18,SYN+ACK,60
1257459909881416,172.28.133.12,152.162.178.254,50676,499,4,RST,60
1257459909883988,172.28.133.158,152.162.178.254,21996,499,2,SYN,60
1257459909884111,152.162.178.254,172.28.133.158,499,21996,18,SYN+ACK,60
1257459909884282,172.28.133.158,152.162.178.254,21996,499,4,RST,60
1257459909890896,172.28.129.124,152.162.178.254,18821,499,2,SYN,60
1257459909891008,152.162.178.254,172.28.129.124,499,18821,18,SYN+ACK,60
1257459909891152,172.28.129.124,152.162.178.254,18821,499,4,RST,60
1257459909902292,172.28.133.86,152.162.178.254,23817,499,2,SYN,60
1257459909902399,152.162.178.254,172.28.133.86,499,23817,18,SYN+ACK,60
1257459909902544,172.28.133.86,152.162.178.254,23817,499,4,RST,60
1257459909977683,172.28.195.194,152.162.178.254,23433,499,2,SYN,60
1257459909977789,152.162.178.254,172.28.195.194,499,23433,18,SYN+ACK,60
1257459909977935,172.28.195.194,152.162.178.254,23433,499,4,RST,60
1257459909981121,172.28.133.12,152.162.178.254,47255,499,2,SYN,60
1257459909981228,152.162.178.254,172.28.133.12,499,47255,18,SYN+ACK,60
1257459909981390,172.28.133.12,152.162.178.254,47255,499,4,RST,60
1257459909983952,172.28.133.158,152.162.178.254,58985,499,2,SYN,60
1257459909984057,152.162.178.254,172.28.133.158,499,58985,18,SYN+ACK,60
1257459909984203,172.28.133.158,152.162.178.254,58985,499,4,RST,60
1257459909990862,172.28.129.124,152.162.178.254,4837,499,2,SYN,60
1257459909990967,152.162.178.254,172.28.129.124,499,4837,18,SYN+ACK,60
1257459909991111,172.28.129.124,152.162.178.254,4837,499,4,RST,60
1257459910002265,172.28.133.86,152.162.178.254,11337,499,2,SYN,60
1257459910002373,152.162.178.254,172.28.133.86,499,11337,18,SYN+ACK,60
1257459910002519,172.28.133.86,152.162.178.254,11337,499,4,RST,60
1257459910077651,172.28.195.194,152.162.178.254,33838,499,2,SYN,60
1257459910077757,152.162.178.254,172.28.195.194,499,33838,18,SYN+ACK,60
1257459910077901,172.28.195.194,152.162.178.254,33838,499,4,RST,60
1257459910081085,172.28.133.12,152.162.178.254,32634,499,2,SYN,60
1257459910081190,152.162.178.254,172.28.133.12,499,32634,18,SYN+ACK,60
1257459910081353,172.28.133.12,152.162.178.254,32634,499,4,RST,60
1257459910083918,172.28.133.158,152.162.178.254,22752,499,2,SYN,60
1257459910084027,152.162.178.254,172.28.133.158,499,22752,18,SYN+ACK,60
1257459910084213,172.28.133.158,152.162.178.254,22752,499,4,RST,60
1257459910090824,172.28.129.124,152.162.178.254,11814,499,2,SYN,60
1257459910090929,152.162.178.254,172.28.129.124,499,11814,18,SYN+ACK,60
1257459910091075,172.28.129.124,152.162.178.254,11814,499,4,RST,60
1257459910102235,172.28.133.86,152.162.178.254,43453,499,2,SYN,60
1257459910102341,152.162.178.254,172.28.133.86,499,43453,18,SYN+ACK,60
1257459910102486,172.28.133.86,152.162.178.254,43453,499,4,RST,60
1257459910177625,172.28.195.194,152.162.178.254,29459,499,2,SYN,60
1257459910177729,152.162.178.254,172.28.195.194,499,29459,18,SYN+ACK,60
1257459910177875,172.28.195.194,152.162.178.254,29459,499,4,RST,60
1257459910181054,172.28.133.12,152.162.178.254,51952,499,2,SYN,60
1257459910181159,152.162.178.254,172.28.133.12,499,51952,18,SYN+ACK,60
1257459910181305,172.28.133.12,152.162.178.254,51952,499,4,RST,60
1257459910183887,172.28.133.158,152.162.178.254,4131,499,2,SYN,60
1257459910184012,152.162.178.254,172.28.133.158,499,4131,18,SYN+ACK,60
1257459910184183,172.28.133.158,152.162.178.254,4131,499,4,RST,60
1257459910190790,172.28.129.124,152.162.178.254,9137,499,2,SYN,60
1257459910190895,152.162.178.254,172.28.129.124,499,9137,18,SYN+ACK,60
1257459910191040,172.28.129.124,152.162.178.254,9137,499,4,RST,60
1257459910202202,172.28.133.86,152.162.178.254,46901,499,2,SYN,60
1257459910202308,152.162.178.254,172.28.133.86,499,46901,18,SYN+ACK,60
1257459910202453,172.28.133.86,152.162.178.254,46901,499,4,RST,60
1257459910277591,172.28.195.194,152.162.178.254,36844,499,2,SYN,60
1257459910277698,152.162.178.254,172.28.195.194,499,36844,18,SYN+ACK,60
1257459910277845,172.28.195.194,152.162.178.254,36844,499,4,RST,60
1257459910281021,172.28.133.12,152.162.178.254,47019,499,2,SYN,60
1257459910281126,152.162.178.254,172.28.133.12,499,47019,18,SYN+ACK,60
1257459910281273,172.28.133.12,152.162.178.254,47019,499,4,RST,60
1257459910283854,172.28.133.158,152.162.178.254,23234,499,2,SYN,60
1257459910283959,152.162.178.254,172.28.133.158,499,23234,18,SYN+ACK,60
1257459910284104,172.28.133.158,152.162.178.254,23234,499,4,RST,60
1257459910290756,172.28.129.124,152.162.178.254,39995,499,2,SYN,60
1257459910290862,152.162.178.254,172.28.129.124,499,39995,18,SYN+ACK,60
1257459910291007,172.28.129.124,152.162.178.254,39995,499,4,RST,60
1257459910302167,172.28.133.86,152.162.178.254,30186,499,2,SYN,60
1257459910302277,152.162.178.254,172.28.133.86,499,30186,18,SYN+ACK,60
1257459910302421,172.28.133.86,152.162.178.254,30186,499,4,RST,60
1257459910377563,172.28.195.194,152.162.178.254,26769,499,2,SYN,60
1257459910377668,152.162.178.254,172.28.195.194,499,26769,18,SYN+ACK,60
1257459910377813,172.28.195.194,152.162.178.254,26769,499,4,RST,60
1257459910380987,172.28.133.12,152.162.178.254,35784,499,2,SYN,60
1257459910381094,152.162.178.254,172.28.133.12,499,35784,18,SYN+ACK,60
